名称,相对路径,性别,年龄段,预测年龄,语速,用途,标签,典型角色,描述
岚风,逗哥热门音色/逗思雨.mp3,男,青年,28岁,适中,旁白,清朗|知性|温润|叙述感|平和|治愈|书卷气|理智,纪录片旁白、电台主播、青年教师、文艺青年、知识科普博主,清朗温润的青年男声，音色干净且富有知性美，语调平和舒缓，带有淡淡的书卷气，非常适合朗读哲理散文、情感语录或作为文化纪录片的旁白。
夜阑,逗哥热门音色/音色-逗激石.mp3,男,青年,35岁,适中,配音+旁白,低沉|磁性|稳重|亲切|叙述感|自然|温和|商务,纪录片旁白、商务精英、深情男主、电台DJ、成熟学长,低沉磁性的成熟男声，音质厚实且富有颗粒感，语调平和自然，既有商务叙述的专业稳重，又兼具情感交流的亲切温暖，适合演绎成熟稳重的角色或进行有质感的旁白解说。
清婉,逗哥热门音色/逗梦梦.mp3,女,青年,24岁,较慢,旁白,温柔|知性|清新|舒缓|细腻|文艺|治愈|含蓄,文艺片旁白、情感电台主播、纪录片解说、图书馆管理员、初恋白月光,声音清澈温润，如同涓涓细流，语调舒缓且富有文艺气息。咬字清晰柔和，透着一种知性与治愈感，非常适合作为文艺电影解说或深夜情感类节目的旁白。
铁柱,逗哥热门音色/音色-   逗大仁.mp3,男,中年,38岁,较快,配音,方言|粗犷|接地气|喜感|豪爽|直接|朴实|高亢,憨厚大叔、暴发户、搞笑配角、热心邻居、小摊贩,带有明显口音或方言特色的中年男声，音色粗犷且富有生活气息，语调直白高亢，透着一股憨厚与喜感，非常适合演绎接地气的市井人物或喜剧角色。
锦悦,逗哥热门音色/音色-逗辰辰.mp3,女,青年,26岁,适中,配音+旁白,知性|温婉|干练|明亮|亲切|职场|清晰|端庄|柔和,新闻主播、职场女性、解说员、智能客服、知性姐姐,声音明亮清晰，透着一股知性与温婉并存的气质，发音标准且具有职业感。语调平稳自然，给人一种既亲切又专业的听感，非常适合作为资讯播报、产品解说或智能助手的语音形象。
星野,逗哥热门音色/音色- 逗小凡.mp3,男,青年,24岁,适中,配音+旁白,清澈|温柔|少年感|干净|磁性|阳光|治愈|亲切,初恋男友、温柔学长、现代都市青年、深情男二、治愈系旁白,清澈干净的青年男声，既有少年的纯真感又带有一丝成熟的磁性，语气温柔亲切，如同春风拂面，非常适合演绎令人心动的恋爱对象或温暖治愈的现代角色。
凌霄,逗哥热门音色/新云浩宇(影视模式).mp3,男,青年,28岁,适中,配音+旁白,清朗|自信|阳光|干练|温润|中气足|略带磁性|亲切,热血主角、青年才俊、正义侠客、阳光学长、精英职员,声音清朗透亮，自带一种年轻且自信的朝气，吐字清晰干练，既有少年的爽朗又有青年的稳重，适合演绎充满正能量或机智果敢的男性角色。
浩然,逗哥热门音色/音色-逗哥君.mp3,男,青年,28岁,适中,配音+旁白,清亮|阳光|爽朗|自信|正气|亲和|自然|通透,热血青年、正派侠客、科技博主、青年才俊、游戏主角,声音清亮通透的青年男声，富有朝气与活力，发音清晰自然，给人以阳光开朗、自信大方的印象，非常适合演绎热血的年轻角色或作为科技、生活类视频的旁白。
艾瑞克,逗哥热门音色/美英Cally女.mp3,男,青年,26岁,适中,旁白,美式|活力|清晰|自信|讲述感|阳光|清亮|现代|热情,冒险片旁白、游戏引导员、科技产品解说、有声书讲述者、青年探险家,清亮且充满活力的美式青年男声，发音清晰标准，语调中带有一种自然的自信与热情，极具讲述感和感染力，非常适合为冒险故事、奇幻游戏或富有探索精神的宣传片进行旁白解说。
言瑾·商务男,逗哥热门音色/音色- 逗承宇.mp3,男,青年,28岁,适中,配音+旁白,温润|清晰|标准|商务|亲切|磁性|稳重|知性,客服专员、新闻主播、商务解说、有声书旁白、AI助理,声音温润清晰，吐字标准，带有一种令人舒适的商务亲和力。语调平稳而不失情感，非常适合用于产品介绍、服务提示音或各类正式场合的旁白解说。
